intron_id,sa.eff
Os01g0104800.intron21,2334
Os01g0104800.intron22,22112
Os01g0104800.intron23,2027
Os01g0104800.intron24,1931
Os01g0104800.intron25,1872
Os01g0104900.intron1,7893
Os01g0104900.intron2,0
Os01g0105300.intron1,46945
Os01g0105300.intron2,1490
Os01g0105300.intron3,2256
Os01g0105300.intron4,445
Os01g0105400.intron1,286
Os01g0105400.intron2,306
Os01g0105400.intron3,1992
Os01g0105400.intron4,18411
Os01g0105400.intron5,44948
Os01g0105400.intron6,3285
Os01g0105400.intron7,3656
Os01g0105400.intron8,7933
Os01g0105700.intron1,0
Os01g0105700.intron2,0
Os01g0105700.intron3,0
Os01g0105700.intron4,0
Os01g0105700.intron5,0
Os01g0105700.intron6,0
Os01g0105800.intron1,136
Os01g0105800.intron2,40084
Os01g0105800.intron3,432
Os01g0105900.intron1,95327
Os01g0105900.intron2,46448
Os01g0105900.intron3,27505
Os01g0105900.intron4,39248
Os01g0105900.intron5,57459
Os01g0105900.intron6,20373
Os01g0105900.intron7,1131000
Os01g0106200.intron1,146769
Os01g0106200.intron2,28991
Os01g0106300.intron1,0
Os01g0106400.intron1,1852
Os01g0106700.intron1,0
Os01g0106700.intron2,0
Os01g0106700.intron3,8996
Os01g0106700.intron4,184
Os01g0106700.intron5,1469
Os01g0106700.intron6,1183
Os01g0106700.intron7,271
Os01g0106700.intron8,1614
Os01g0106700.intron9,6387
Os01g0106700.intron10,5100
Os01g0106700.intron11,9897
Os01g0106700.intron12,22475
Os01g0106700.intron13,4468
Os01g0106700.intron14,3100
Os01g0106700.intron15,142
Os01g0106700.intron16,1360
Os01g0106700.intron17,16299
Os01g0106700.intron18,892
Os01g0106700.intron19,13603
Os01g0106700.intron20,64
Os01g0106700.intron21,132
Os01g0106700.intron22,1447
Os01g0106700.intron23,3123
Os01g0106700.intron24,2363
Os01g0106700.intron25,5288
Os01g0106700.intron26,412
Os01g0106700.intron27,919
Os01g0106700.intron28,8236
Os01g0106700.intron29,9727
Os01g0106700.intron30,8626
Os01g0106700.intron31,1194
Os01g0106700.intron32,12503
Os01g0106700.intron33,900
Os01g0106700.intron34,1693
Os01g0106700.intron35,9422
Os01g0106700.intron36,4787
Os01g0106700.intron37,0
Os01g0106700.intron38,1320
Os01g0106700.intron39,3565
Os01g0106700.intron40,256
Os01g0106700.intron41,296
Os01g0106700.intron42,5997
Os01g0106700.intron43,4
Os01g0106700.intron44,10756
Os01g0106700.intron45,2164
Os01g0106700.intron46,0
Os01g0106700.intron47,596
Os01g0106700.intron48,9854
Os01g0106700.intron49,5688
Os01g0106700.intron50,213
Os01g0106700.intron51,227
Os01g0106700.intron52,2963
Os01g0106700.intron53,598
Os01g0106700.intron54,270
Os01g0106700.intron55,3777
Os01g0106700.intron56,0
Os01g0106700.intron57,6087
Os01g0106700.intron58,0
Os01g0106700.intron59,0
Os01g0106700.intron60,0
Os01g0106700.intron61,0
Os01g0106700.intron62,447
Os01g0106700.intron63,0
Os01g0106700.intron64,1941
Os01g0106700.intron65,779
Os01g0106800.intron1,5733
Os01g0106800.intron2,3655
Os01g0106800.intron3,229550
Os01g0106800.intron4,6668
Os01g0106900.intron1,40743
Os01g0106900.intron2,26831
Os01g0106900.intron3,5748
Os01g0106900.intron4,1380
Os01g0106900.intron5,4009
Os01g0106900.intron6,7738
Os01g0106900.intron7,35537
Os01g0106900.intron8,1929
Os01g0106900.intron9,2999
Os01g0106900.intron10,3682
Os01g0106900.intron11,25244
Os01g0106900.intron12,40743
Os01g0106900.intron13,26831
Os01g0106900.intron14,5748
Os01g0106900.intron15,1380
Os01g0106900.intron16,4009
Os01g0106900.intron17,7738
Os01g0106900.intron18,35537
Os01g0106900.intron19,1929
Os01g0106900.intron20,2999
Os01g0106900.intron21,3682
Os01g0106900.intron22,25244
Os01g0107000.intron1,800
Os01g0107000.intron2,3225
Os01g0107000.intron3,5450
Os01g0107000.intron4,1863
Os01g0107000.intron5,2335
Os01g0107000.intron6,10693
Os01g0107000.intron7,2744
Os01g0107000.intron8,21261
Os01g0107000.intron9,800
Os01g0107000.intron10,3225
Os01g0107000.intron11,5450
Os01g0107000.intron12,1863
Os01g0107000.intron13,6725
Os01g0107000.intron14,2335
Os01g0107000.intron15,10693
Os01g0107000.intron16,2744
Os01g0107000.intron17,21261
Os01g0107700.intron1,1412
Os01g0107700.intron2,400
Os01g0107700.intron3,0
Os01g0107700.intron4,194
Os01g0107700.intron5,1193
Os01g0107700.intron6,718
Os01g0107750.intron1,828
Os01g0107750.intron2,0
Os01g0107750.intron3,28
Os01g0107750.intron4,770
Os01g0107750.intron5,0
Os01g0107900.intron1,105509
Os01g0107900.intron2,18562
Os01g0107900.intron3,6265
Os01g0107900.intron4,5196
Os01g0107900.intron5,21389
Os01g0107900.intron6,21432
Os01g0107900.intron7,2756
Os01g0107900.intron8,2133
Os01g0107900.intron9,6432
Os01g0107900.intron10,954
Os01g0107900.intron11,105509
Os01g0107900.intron12,18562
Os01g0107900.intron13,6265
Os01g0107900.intron14,5196
Os01g0107900.intron15,21389
